ID,STRATACD,ECOSECTION,PHOTOYEAR,NUMCOND,PNTCNT,TREE,SHRUB,TREESHRUB,FOREST,NONFOREST,VEGETATED,NONVEGETATED,DEAD,ASPEN,PINYON,PJSPP,SAGE,SPRUCEFIR,INSDIS_DROUGHT,FIRE,EVI2005097,EVI2005177,EVI2005273,NDV2005097,NDV2005177,NDV2005273,NIR2005097,NIR2005177,NIR2005273,RED2005097,RED2005177,RED2005273,NLCD01_250,ELEV250
1,1,M261E,2005,1,49,14,14,29,14,86,45,55,0,0,0,0,0,0,0,0,2452,2584,2688,4438,4992,5486,2265,2011,2110,873,641,615,42,1830.00
2,1,M261E,2005,1,49,33,22,55,33,67,57,43,0,0,0,0,0,0,0,0,3083,2345,2680,4804,5774,6618,2443,1545,1725,858,390,362,42,2237.00
3,1,M261E,2005,1,49,39,12,51,39,61,57,43,0,0,0,0,0,0,0,0,2636,2851,2525,4281,6152,6771,2385,1900,1508,964,394,293,42,1956.00
4,1,M261E,2005,1,49,47,24,71,47,53,71,29,0,0,0,0,0,0,0,0,2433,2529,2794,1879,6771,7207,4648,1561,1650,3358,313,277,42,2599.00
5,2,322A,2005,1,24,29,4,33,29,71,33,67,4,0,4,25,0,0,0,0,1247,1317,1739,2560,2923,3210,1648,1704,1995,991,916,1035,42,2310.00
6,2,322A,2005,1,49,0,49,49,0,100,69,31,0,0,0,0,0,0,0,100,2195,2962,2501,3446,4877,4672,2703,2444,2199,1318,820,799,42,2127.00
7,2,322A,2005,1,49,4,0,4,4,96,6,94,2,0,0,2,0,0,0,100,1998,1876,744,3233,3287,1783,2491,2081,1289,1273,1051,896,42,1734.00
8,2,322A,2005,1,49,8,4,12,8,92,14,86,2,0,0,0,0,0,0,100,1502,711,599,3482,1357,1659,1506,1788,1138,727,1387,832,42,1769.00
9,2,322A,2005,1,49,8,20,29,8,92,59,41,8,0,0,0,0,0,0,100,1314,2333,1934,2329,3515,3407,1912,2607,2174,1198,1224,1063,50,2409.00
10,2,322A,2005,1,49,10,61,71,10,90,71,29,0,0,6,10,0,0,0,0,1617,2634,2227,3795,4404,4725,1476,2218,1814,665,933,667,42,1969.00
11,2,322A,2005,1,49,12,6,18,12,88,24,76,12,0,0,0,0,0,0,100,2276,911,970,3585,1857,2106,2673,1736,1581,1262,1182,1039,50,1444.00
12,2,322A,2005,1,49,14,0,14,14,86,14,86,0,0,0,14,0,0,0,0,1429,1364,1397,3028,3028,3988,1617,1430,1181,869,725,513,42,1999.00
13,2,322A,2005,1,49,22,20,43,22,78,51,49,12,0,6,10,0,0,0,100,1772,2221,1966,3220,3982,4041,2086,2120,1839,1072,847,786,42,2007.00
14,2,322A,2005,1,49,27,0,27,27,73,27,73,0,0,2,27,0,0,0,0,1594,1523,1812,3162,3428,4034,1920,1923,1671,1007,972,712,42,2159.00
15,2,322A,2005,1,49,27,12,39,27,73,39,61,0,0,14,27,4,0,0,0,1280,1786,1264,2721,2797,2742,1628,2726,1636,932,1525,934,50,1858.00
16,2,322A,2005,1,49,27,14,41,27,73,67,33,4,0,4,22,4,0,0,0,2149,582,788,3792,1057,1684,2206,1493,1539,996,1204,1096,42,1392.00
17,2,322A,2005,1,49,29,8,37,29,71,39,61,2,0,6,24,0,0,0,0,1451,1576,1466,3266,3309,3938,1529,1647,1264,777,766,550,42,2060.00
18,2,322A,2005,1,49,29,14,43,29,71,55,45,0,0,4,22,0,0,0,0,2065,1579,1706,3588,3120,3639,2343,2005,1781,1104,1055,829,42,1385.00
19,2,322A,2005,1,49,31,0,31,31,69,33,67,0,0,24,29,0,0,0,0,1941,1843,1821,3286,4093,4671,2172,1640,1412,1097,695,514,42,2356.00
20,2,322A,2005,1,49,31,8,39,31,69,39,61,12,0,18,18,0,0,0,0,2185,2194,2528,3967,4498,4943,2231,1675,2119,966,657,717,42,2152.00
21,2,322A,2005,1,49,31,10,41,31,69,41,59,6,0,0,0,0,0,0,0,2114,2072,1988,1328,3890,3631,3832,1825,2153,2997,842,1006,42,2665.00
22,2,322A,2005,1,49,31,18,49,31,69,49,51,0,0,18,31,0,0,0,0,2251,1962,2129,3682,3968,4599,2338,1780,1710,1079,764,634,42,2163.00
23,2,322A,2005,1,49,33,6,39,33,67,39,61,0,0,18,33,0,0,0,0,1753,1919,1764,3480,3766,4243,1828,2060,1500,899,927,606,42,2167.00
24,2,322A,2005,1,49,33,8,41,33,67,41,59,2,0,16,31,2,0,0,0,1882,1970,1804,3777,3810,4306,1843,1899,1520,836,827,614,42,1976.00
25,2,322A,2005,1,49,33,12,45,33,67,57,43,0,0,0,33,0,0,0,0,2212,1697,1905,3631,2839,3115,2533,2027,2448,1184,1238,1286,42,1544.00
26,2,322A,2005,1,49,35,4,39,35,65,45,55,6,0,20,27,0,0,0,0,2329,2147,2190,3838,4367,5062,2368,1800,1599,1055,706,525,42,1938.00
27,2,322A,2005,1,49,37,8,45,37,63,45,55,0,0,16,37,2,0,0,0,1376,1574,1680,2899,3092,3551,1713,1984,1745,944,1073,831,42,2120.00
28,2,322A,2005,1,49,37,8,45,37,63,47,53,0,0,10,37,0,0,0,0,1700,1902,1767,3355,3338,3800,1910,1841,1762,949,830,798,42,1917.00
29,2,322A,2005,1,49,39,6,45,39,61,45,55,0,0,14,35,2,0,0,0,1844,1637,1587,3347,3445,3924,2055,1782,1390,1026,870,606,42,1784.00
30,2,322A,2005,1,49,39,16,55,39,61,71,29,0,0,2,37,0,0,0,0,2252,1620,1736,3912,3617,4239,2207,1842,1540,966,883,635,42,2018.00
